/NM0/D (vgs=0.3) X,/NM0/D (vgs=0.3) Y
0,0
0.036,4.952621737700873e-06
0.07200000000000001,7.566812303066999e-06
0.108,8.698217005148795e-06
0.144,9.254213945872525e-06
0.18,9.600550468454459e-06
0.216,9.856774324915971e-06
0.252,1.006672607609766e-05
0.288,1.02493391754263e-05
0.3240000000000001,1.041403580753516e-05
0.3600000000000001,1.056607033520207e-05
0.3960000000000001,1.070864905313309e-05
0.4320000000000002,1.084387257424237e-05
0.4680000000000002,1.097319663462822e-05
0.5040000000000002,1.109767612181748e-05
0.5400000000000003,1.121810328728028e-05
0.5760000000000003,1.133509061282862e-05
0.6120000000000003,1.144912295995331e-05
0.6480000000000004,1.156059177520838e-05
0.6840000000000004,1.166981833673601e-05
0.7200000000000004,1.177707004348903e-05
0.7560000000000004,1.188257213529412e-05
0.7920000000000005,1.198651632153838e-05
0.8280000000000005,1.20890672627802e-05
0.8640000000000005,1.219036752619551e-05
0.9000000000000006,1.22905414336891e-05
0.9360000000000006,1.238969809172381e-05
0.9720000000000006,1.248793380649395e-05
1.008000000000001,1.25853340305691e-05
1.044000000000001,1.268197494763795e-05
1.080000000000001,1.277792477434804e-05
1.116000000000001,1.287324483857719e-05
1.152000000000001,1.296799047926706e-05
1.188000000000001,1.30622118025418e-05
1.224000000000001,1.315595432111014e-05
1.260000000000001,1.324925949814733e-05
1.296000000000001,1.334216521244773e-05
1.332000000000001,1.343470615825955e-05
1.368000000000001,1.35269141905967e-05
1.404000000000001,1.361881862477866e-05
1.440000000000001,1.371044649733976e-05
1.476000000000001,1.380182279417277e-05
1.512000000000001,1.389297065075009e-05
1.548000000000001,1.398391152844606e-05
1.584000000000001,1.407466537031842e-05
1.620000000000001,1.416525073916622e-05
1.656000000000001,1.425568494023834e-05
1.692000000000001,1.434598413060192e-05
1.728000000000001,1.443616341687823e-05
1.764000000000001,1.452623694280322e-05
1.8,1.461621796786004e-05
